"Date (MM/DD/YYYY)","Category","Amount","Note"
"10/19/2018","Food","-3.99",""
"10/19/2018","Food","-20.64",""
"10/19/2018","Food","-24.36",""
"10/09/2018","Bills","-2.62","за газ"
"09/30/2018","Food","-5.98",""
"09/30/2018","Consumables","-37.53","Автобус и Метро, вместе дешевле чем врозь"
"09/29/2018","Food","-31.34",""
"09/29/2018","Food","-17.55",""
"09/29/2018","Food","-18.06",""
"09/29/2018","Food","-27.55",""
"09/29/2018","Food","-6.26","зашёл в гиппо"
"09/29/2018","Med","-6.49","шалфей и девясил"
"09/29/2018","Food","-29.08",""
"09/29/2018","Consumables","-11.35","швмпунь хэдэншолдерс олд спайс  и шампунь для бритья акс с перцем, купил что понравилось, а не что дешевле."
"09/29/2018","Food","-20.72",""
"09/29/2018","Consumables","-18.0","интернет Октябрь"
"09/29/2018","Income","300.0","зрпл вся"
"09/27/2018","Income","400.0","ещё кусок зрпл"
"09/27/2018","Income","410.0","часть зрпл. 26-го"
"09/24/2018","Bills","-165.0","квартплата за Октябрь Таня"
"09/21/2018","Bills","-54.18","Первая квартплата без пени."
"09/21/2018","Bills","-2.62","за газ"
"09/19/2018","Income","100.0","18-го - аванс?"
"09/17/2018","Food","-21.36",""
"09/17/2018","Food","-31.25",""
"09/17/2018","Food","-19.49",""
"09/17/2018","Food","-20.27",""
"09/17/2018","Food","-16.13",""
"09/17/2018","Food","-24.83",""
"09/17/2018","Food","-9.67",""
"09/17/2018","Food","-26.82",""
"09/17/2018","Consumables","-5.1","мыло"
"09/17/2018","Consumables","-29.25","Метро Сентябрь"
"08/31/2018","Income","350.0","ещё кусок"
"08/31/2018","Clothes","-32.0","худи"
"08/31/2018","Consumables","-27.0","проездной на Сентябрь"
"08/31/2018","Consumables","-18.0","интернет на Сентябрь"
"08/31/2018","Income","450.0","зарплата и явно не вся"
"08/29/2018","Food","-24.44",""
"08/29/2018","Food","-25.83",""
"08/29/2018","Food","-21.17",""
"08/29/2018","Food","-22.07",""
"08/29/2018","Food","-19.96",""
"08/29/2018","Food","-19.19",""
"08/29/2018","Med","-6.73","травы"
"08/29/2018","Food","-30.5","сырки глазированые, нутелла, сервиладик и всё в одно ебало, вообще охуел."
"08/24/2018","Bills","-2.62","за газ"
"08/24/2018","Income","200.0","типа аванс вместо зарплаты 24-го Авг"
"08/24/2018","Bills","-165.0","квартплата за Сентябрь"
"08/15/2018","Income","20.0","5 ящ по 15?кг плитки на 7 эт и помощь в лифте."
"08/13/2018","Food","-22.97",""
"08/13/2018","Food","-14.87",""
"08/13/2018","Food","-3.78",""
"08/13/2018","Food","-3.28",""
"08/13/2018","Consumables","-4.37","ревивер для волос 2 банки"
"08/13/2018","Food","-9.51",""
"08/13/2018","Food","-21.61",""
"08/13/2018","Food","-22.48",""
"08/13/2018","Food","-11.22",""
"08/13/2018","Food","-3.1",""
"08/13/2018","Food","-4.33",""
"08/08/2018","Consumables","-1.04","силикатный клей 2тюб."
"08/03/2018","Income","200.0","авансег"
"08/01/2018","Bills","-418.67","Пеня за квартиру в Рогачёве"
"07/31/2018","Med","-3.62","2 бут. хлоргекседина"
"07/31/2018","Food","-13.61",""
"07/30/2018","Food","-19.12",""
"07/30/2018","Food","-15.02",""
"07/30/2018","Food","-3.0","груши и яблоки"
"07/30/2018","Income","820.0","Та зарплата что должна была быть 25-го Июля, а пришла 11 Авг, запишу в Июль чтоб позитивнее был баланс."
"07/30/2018","Bills","-18.0","Интернет и мобильная связь на Август"
"07/27/2018","Consumables","-27.0","проездной еа Август"
"07/27/2018","Food","-21.92",""
"07/27/2018","Food","-18.92",""
"07/27/2018","Food","-7.33",""
"07/27/2018","Food","-11.33",""
"07/27/2018","Food","-9.68",""
"07/27/2018","Food","-26.73",""
"07/27/2018","Food","-12.43",""
"07/27/2018","Med","-1.98","Полынь"
"07/27/2018","Food","-21.08",""
"07/27/2018","Food","-20.32",""
"07/27/2018","Clothes","-12.0","секонд майка"
"07/27/2018","Clothes","-38.0","секонд"
"07/27/2018","Food","-3.25","три беляша и вода Люде наличманом"
